neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_since_last_review
0,0,1,0,0,1,0,0,225,1,45,0.38,2,355,48
0,0,1,0,0,0,1,0,150,3,0,0.72,1,365,277
0,0,1,0,0,1,0,0,80,10,9,0.1,1,0,231
0,0,1,0,0,1,0,0,135,5,53,0.43,1,6,16
0,0,1,0,0,1,0,0,190,7,0,0.72,2,249,277
0,1,0,0,0,0,1,0,60,1,19,1.37,2,85,15
0,0,1,0,0,0,1,0,80,4,0,0.72,1,0,277
0,1,0,0,0,0,1,0,150,1,0,0.72,1,365,277
0,1,0,0,0,1,0,0,120,3,15,0.39,1,345,42
0,1,0,0,0,0,1,0,120,7,25,0.23,1,311,281
0,0,1,0,0,1,0,0,200,7,19,0.22,1,257,105
0,0,1,0,0,0,1,0,110,5,19,0.17,1,301,51
0,1,0,0,0,0,1,0,80,2,42,0.38,1,263,8
0,1,0,0,0,0,1,0,55,7,27,0.23,2,292,646
0,1,0,0,0,1,0,0,225,3,4,0.16,1,0,652
0,0,1,0,0,1,0,0,230,9,49,0.43,1,116,420
0,0,1,0,0,0,1,0,51,7,23,0.43,1,88,37
0,0,1,0,0,0,1,0,65,2,49,1.6,2,336,20
0,0,1,0,0,1,0,0,190,5,21,0.2,1,224,187
0,1,0,0,0,1,0,0,130,6,16,0.15,1,38,23
0,1,0,0,0,0,1,0,65,4,24,0.28,1,317,43
0,1,0,0,0,1,0,0,250,7,21,0.3,1,158,48
0,0,1,0,0,0,1,0,89,1,1,0.11,1,365,272
0,0,1,0,0,0,1,0,60,3,11,0.87,3,219,186
0,0,1,0,0,1,0,0,140,7,12,0.13,1,164,574
0,0,1,0,0,1,0,0,235,6,27,0.27,1,199,72
0,0,1,0,0,1,0,0,170,7,13,0.12,1,224,12
0,1,0,0,0,0,1,0,75,2,9,0.08,1,324,276
0,0,1,0,0,1,0,0,105,3,32,0.29,1,16,24
0,0,1,0,0,0,1,0,130,2,50,0.45,3,234,43
0,1,0,0,0,0,1,0,77,2,2,0.02,1,178,188
0,1,0,0,0,1,0,0,199,3,10,0.1,1,280,392
0,1,0,0,0,1,0,0,160,3,11,0.11,1,188,6
0,0,1,0,0,1,0,0,195,3,30,0.28,1,248,21
0,1,0,0,0,1,0,0,125,6,27,0.25,1,189,193
0,1,0,0,0,0,1,0,50,2,47,0.94,1,37,19
0,0,1,0,0,1,0,0,100,2,18,1.79,1,0,203
0,1,0,0,0,1,0,0,200,4,33,0.58,1,1,91
0,1,0,0,0,1,0,0,150,5,52,0.5,1,18,33
0,1,0,0,0,0,1,0,120,3,51,0.48,3,250,14
0,0,1,0,0,1,0,0,275,1,41,0.38,1,299,12
0,0,0,1,0,0,1,0,55,2,52,0.49,2,365,49
0,0,1,0,0,1,0,0,195,5,10,1.01,1,0,7
0,1,0,0,0,0,1,0,80,2,11,0.48,1,0,602
0,1,0,0,0,0,1,0,71,2,23,0.22,1,91,7
0,1,0,0,0,0,1,0,68,3,37,0.35,1,0,189
0,0,0,1,0,1,0,0,140,2,17,0.16,1,292,21
0,0,1,0,0,1,0,0,239,3,7,0.07,1,351,45
0,1,0,0,0,0,1,0,135,2,21,0.26,1,272,52
0,0,1,0,0,0,1,0,120,7,17,0.3,1,341,61
0,0,1,0,0,1,0,0,150,3,41,0.39,1,244,187
0,0,1,0,0,1,0,0,250,4,18,0.18,2,265,7
0,0,1,0,0,1,0,0,225,5,10,0.1,1,91,58
0,0,1,0,0,0,1,0,175,2,1,0.11,1,365,274
0,1,0,0,0,0,1,0,39,1,45,0.46,2,365,53
0,0,1,0,0,0,1,0,75,7,0,0.72,2,323,277
0,0,1,0,0,1,0,0,200,3,0,0.72,1,0,277
0,1,0,0,0,0,1,0,60,3,0,0.72,1,0,277
0,0,1,0,0,1,0,0,129,7,5,0.15,1,231,186
0,1,0,0,0,1,0,0,130,10,49,0.48,1,152,9
0,0,1,0,0,0,1,0,75,3,20,0.26,1,364,187
0,1,0,0,0,1,0,0,190,3,51,0.57,1,288,7
0,1,0,0,0,1,0,0,140,2,9,0.11,1,254,142
0,0,1,0,0,1,0,0,195,11,30,0.32,1,249,25
0,1,0,0,0,0,1,0,70,5,47,0.49,1,203,9
0,0,1,0,0,0,1,0,65,3,52,0.63,1,5,179
0,0,1,0,0,1,0,0,250,3,32,0.43,2,276,45
0,1,0,0,0,0,1,0,59,3,29,0.36,1,15,22
0,0,1,0,0,0,1,0,150,3,36,0.36,1,49,24
0,1,0,0,0,1,0,0,185,3,46,1.07,1,248,6
0,0,1,0,0,1,0,0,225,2,33,0.33,1,0,187
0,1,0,0,0,1,0,0,150,5,5,0.05,1,0,351
0,0,0,1,0,0,1,0,80,1,42,1.21,2,365,2
0,1,0,0,0,1,0,0,200,5,4,0.07,1,9,194
0,1,0,0,0,0,1,0,165,4,11,0.11,3,365,31
0,0,0,1,0,0,1,0,50,1,43,0.45,1,88,0
0,1,0,0,0,0,1,0,100,3,31,0.31,1,0,129
0,0,1,0,0,1,0,0,120,5,49,0.56,1,201,19
0,0,1,0,0,1,0,0,225,2,56,0.57,1,312,192
0,0,1,0,0,1,0,0,211,1,52,0.6,3,361,30
0,0,1,0,0,1,0,0,145,6,39,0.4,1,0,287
0,0,0,1,0,1,0,0,110,4,30,0.32,1,363,22
0,0,1,0,0,0,1,0,290,2,35,0.36,1,20,186
0,0,1,0,0,0,1,0,87,2,0,0.72,1,0,277
0,1,0,0,0,1,0,0,190,4,50,0.51,1,331,6
0,1,0,0,0,1,0,0,200,2,29,0.31,1,36,15
0,1,0,0,0,0,1,0,99,2,38,0.54,2,307,35
0,0,0,1,0,1,0,0,97,3,28,1.21,3,209,7
0,0,1,0,0,1,0,0,170,4,24,0.25,1,0,559
0,1,0,0,0,1,0,0,225,10,22,0.38,1,52,39
0,1,0,0,0,1,0,0,250,7,18,0.21,1,18,42
0,1,0,0,0,1,0,0,141,5,8,0.21,1,9,365
0,0,1,0,0,1,0,0,259,8,17,0.17,1,343,51
0,0,1,0,0,1,0,0,200,4,0,0.72,1,0,277
0,0,1,0,0,1,0,0,95,5,2,0.08,1,0,367
0,1,0,0,0,1,0,0,250,4,52,0.72,1,188,72
0,0,1,0,0,1,0,0,250,4,0,0.72,1,0,277
0,0,1,0,0,1,0,0,250,4,19,0.2,1,0,2
0,1,0,0,0,1,0,0,150,2,0,0.72,1,8,277
0,0,1,0,0,0,1,0,95,7,25,0.3,1,359,146
0,0,1,0,0,0,1,0,75,3,38,0.42,3,365,426
0,1,0,0,0,0,1,0,75,3,43,0.44,2,365,49
0,1,0,0,0,0,1,0,80,1,39,0.41,3,218,14
0,0,1,0,0,0,1,0,150,2,37,1.79,1,0,5
0,0,1,0,0,1,0,0,200,3,10,0.12,1,0,188
0,1,0,0,0,1,0,0,130,2,29,0.35,1,119,10
0,0,1,0,0,1,0,0,198,5,42,0.44,2,234,35
0,0,1,0,0,0,1,0,140,2,54,0.56,1,221,22
0,0,1,0,0,0,1,0,75,5,57,0.59,2,201,188
0,0,1,0,0,0,1,0,75,2,34,0.35,1,222,23
0,0,1,0,0,1,0,0,205,9,3,0.04,2,76,421
0,0,1,0,0,0,1,0,65,2,41,0.43,2,59,22
0,1,0,0,0,1,0,0,106,7,0,0.72,2,0,277
0,1,0,0,0,0,1,0,85,2,35,0.55,2,161,6
0,0,1,0,0,0,1,0,89,5,43,0.47,2,247,551
0,1,0,0,0,1,0,0,150,2,11,0.46,1,0,253
0,1,0,0,0,1,0,0,97,3,31,0.32,1,193,258
0,0,1,0,0,0,1,0,100,4,49,0.51,2,43,62
0,1,0,0,0,1,0,0,179,4,23,0.24,1,25,86
0,0,1,0,0,1,0,0,300,1,6,0.06,3,115,10
0,0,1,0,0,1,0,0,169,7,39,0.41,1,44,1
0,1,0,0,0,1,0,0,160,3,42,0.44,1,355,51
0,1,0,0,0,1,0,0,215,3,33,0.35,1,156,61
0,0,1,0,0,1,0,0,149,6,23,0.27,2,0,413
0,1,0,0,0,0,1,0,85,1,46,0.97,1,59,190
0,0,1,0,0,0,1,0,75,3,50,0.65,2,38,100
0,0,1,0,0,0,0,1,90,1,0,0.72,1,0,277
0,1,0,0,0,0,1,0,41,2,55,0.59,1,286,69
0,1,0,0,0,1,0,0,157,2,4,0.18,1,0,315
0,1,0,0,0,1,0,0,145,3,30,0.32,3,11,14
0,1,0,0,0,0,1,0,40,1,1,0.37,1,5,78
0,0,0,0,1,0,1,0,80,2,2,0.05,1,158,515
0,0,1,0,0,1,0,0,300,2,45,0.47,3,31,77
0,0,1,0,0,0,1,0,80,7,19,0.35,1,285,35
0,1,0,0,0,1,0,0,110,1,24,0.26,1,183,170
0,1,0,0,0,1,0,0,172,4,8,0.09,2,189,632
0,0,1,0,0,0,1,0,100,1,33,0.38,1,84,44
0,0,1,0,0,0,1,0,250,2,0,0.72,1,0,277
0,0,1,0,0,1,0,0,199,4,32,0.34,1,28,61
0,1,0,0,0,1,0,0,150,5,24,0.25,1,363,15
0,1,0,0,0,1,0,0,230,4,18,0.21,1,0,368
0,0,1,0,0,1,0,0,125,4,3,0.03,1,0,194
0,0,1,0,0,1,0,0,225,3,13,0.15,1,83,43
0,0,1,0,0,0,1,0,130,2,52,0.55,1,303,328
0,1,0,0,0,1,0,0,80,2,35,0.4,1,36,29
0,0,0,1,0,0,1,0,55,1,19,0.25,1,311,342
0,1,0,0,0,1,0,0,300,1,40,0.44,1,0,22
0,0,1,0,0,1,0,0,160,4,0,0.72,1,0,277
0,0,1,0,0,1,0,0,100,5,8,0.11,1,0,416
0,1,0,0,0,1,0,0,110,6,8,0.33,1,4,186
0,0,1,0,0,1,0,0,200,2,37,0.39,1,257,187
0,1,0,0,0,1,0,0,137,1,24,0.29,1,0,188
0,0,1,0,0,1,0,0,226,5,34,0.39,1,302,7
0,1,0,0,0,0,1,0,150,3,0,0.72,1,0,277
0,0,1,0,0,0,1,0,125,1,11,0.12,2,365,651
0,0,1,0,0,1,0,0,200,3,49,0.53,2,0,333
0,0,1,0,0,1,0,0,185,2,16,0.23,1,261,10
0,0,0,1,0,0,1,0,54,5,56,0.66,3,365,2
0,0,1,0,0,1,0,0,325,4,46,0.5,1,20,36
0,1,0,0,0,1,0,0,130,3,18,0.25,1,1,20
0,0,1,0,0,0,1,0,101,7,51,0.55,1,307,36
0,1,0,0,0,1,0,0,92,4,54,0.62,1,27,14
0,0,1,0,0,0,1,0,80,5,10,0.46,1,348,189
0,0,1,0,0,1,0,0,155,1,1,0.18,1,5,162
0,1,0,0,0,0,1,0,99,2,20,0.59,1,98,29
0,0,1,0,0,1,0,0,310,5,5,0.09,1,89,368
0,1,0,0,0,1,0,0,110,4,0,0.72,1,354,277
0,0,1,0,0,1,0,0,220,4,0,0.72,1,0,277
0,0,0,1,0,0,1,0,55,1,38,0.85,1,0,7
1,0,0,0,0,0,1,0,50,2,15,0.17,1,337,29
0,1,0,0,0,0,1,0,60,2,20,0.42,1,347,168
0,0,1,0,0,0,1,0,99,3,25,0.96,2,127,23
0,0,1,0,0,1,0,0,130,2,35,0.42,1,41,42
0,1,0,0,0,0,1,0,50,3,26,0.33,1,158,142
0,1,0,0,0,0,1,0,34,10,16,0.19,3,216,103
0,0,1,0,0,1,0,0,250,3,24,0.26,1,16,11
0,1,0,0,0,0,1,0,190,1,30,0.33,2,365,10
0,1,0,0,0,0,1,0,60,5,9,0.19,2,33,13
0,1,0,0,0,0,1,0,65,5,45,0.52,2,0,43
0,0,1,0,0,1,0,0,300,3,5,0.08,1,27,189
0,0,1,0,0,1,0,0,299,3,49,0.53,1,365,254
0,1,0,0,0,0,1,0,60,4,6,0.07,1,303,78
0,1,0,0,0,0,1,0,60,2,35,0.38,2,161,8
0,0,1,0,0,0,1,0,200,6,0,0.72,1,0,277
0,0,1,0,0,0,1,0,99,2,54,0.88,1,50,14
0,1,0,0,0,1,0,0,135,5,6,0.13,1,317,14
0,1,0,0,0,0,1,0,75,7,15,0.25,3,365,30
0,1,0,0,0,1,0,0,70,6,58,0.63,1,0,556
0,0,1,0,0,1,0,0,300,3,2,0.06,1,365,454
0,1,0,0,0,1,0,0,140,5,14,0.16,1,0,19
0,1,0,0,0,0,1,0,97,3,29,1.57,1,118,13
0,1,0,0,0,0,1,0,75,7,0,0.72,1,0,277
